analysis_id,study_id,contrast_id,comparison_task,matched_task_names,analysis_name,study_name,authors,publication
4b2M5NqN8XtV-YH84gSKq32L3,4b2M5NqN8XtV,YH84gSKq32L3,flanker,Flanker Task | Delayed Gratification Task | Color-Word Stroop Task,Music > Control,Effects of Music Training on Inhibitory Control and Associated Neural Networks in School-Aged Children: A Longitudinal Study,Sarah Hennessy; Matthew E. Sachs; Beatriz Ilari; Assal Habibi,Frontiers in Neuroscience
4b2M5NqN8XtV-xD6eHh6MDXbb,4b2M5NqN8XtV,xD6eHh6MDXbb,flanker,Flanker Task | Delayed Gratification Task | Color-Word Stroop Task,Incongruent > Rest,Effects of Music Training on Inhibitory Control and Associated Neural Networks in School-Aged Children: A Longitudinal Study,Sarah Hennessy; Matthew E. Sachs; Beatriz Ilari; Assal Habibi,Frontiers in Neuroscience
4yAeYCmZ7Mx4-4qWp8tt6oyf5,4yAeYCmZ7Mx4,4qWp8tt6oyf5,flanker,Eriksen Flanker Task,t0005,Mechanisms underlying flexible adaptation of cognitive control: Behavioral and neuroimaging evidence in a flanker task,"Zurawska Vel Grajewska B, Sim EJ, Hoenig K, Herrnberger B, Kiefer M",Brain research
4yAeYCmZ7Mx4-fvePCjoLRYR5,4yAeYCmZ7Mx4,fvePCjoLRYR5,flanker,Eriksen Flanker Task,t0010,Mechanisms underlying flexible adaptation of cognitive control: Behavioral and neuroimaging evidence in a flanker task,"Zurawska Vel Grajewska B, Sim EJ, Hoenig K, Herrnberger B, Kiefer M",Brain research
5nCw8oE7ECkv-6pYnSxmw3jrS,5nCw8oE7ECkv,6pYnSxmw3jrS,flanker,Stroop Task | Raven's Advanced Progressive Matrices | Flanker Task | Digit Span Task | Spatial Span Task | Verbal Working Memory Task | Spatial Working Memory Task | Bound Working Memory Task | Separate Working Memory Task | Digit Symbol Substitution Task | Motor Task | Resting State fMRI,T2,Parallel ICA identifies sub-components of resting state networks that covary with behavioral indices,"Meier TB, Wildenberg JC, Liu J, Chen J, Calhoun VD, Biswal BB, Meyerand ME, Birn RM, Prabhakaran V",Frontiers in human neuroscience
6HV5Zhu9zuv2-2Gw9DmmX5NFc,6HV5Zhu9zuv2,2Gw9DmmX5NFc,flanker,Flanker Task,Peak coordinates (Talairach),The effect of feature-based attention on flanker interference processing: An fMRI-constrained source analysis,J. Siemann; M. Herrmann; Daniela Galashan,Scientific Reports
6HV5Zhu9zuv2-7icM9A6UQ6xw,6HV5Zhu9zuv2,7icM9A6UQ6xw,flanker,Flanker Task,Left hemisphere (MNI space),The effect of feature-based attention on flanker interference processing: An fMRI-constrained source analysis,J. Siemann; M. Herrmann; Daniela Galashan,Scientific Reports
6HV5Zhu9zuv2-EeCkv8wNfRV4,6HV5Zhu9zuv2,EeCkv8wNfRV4,flanker,Flanker Task,Right hemisphere (MNI space),The effect of feature-based attention on flanker interference processing: An fMRI-constrained source analysis,J. Siemann; M. Herrmann; Daniela Galashan,Scientific Reports
6HV5Zhu9zuv2-MC3kdytPq5uK,6HV5Zhu9zuv2,MC3kdytPq5uK,flanker,Flanker Task,RS coordinates (Talairach),The effect of feature-based attention on flanker interference processing: An fMRI-constrained source analysis,J. Siemann; M. Herrmann; Daniela Galashan,Scientific Reports
6HV5Zhu9zuv2-WDW4PKvUpWVc,6HV5Zhu9zuv2,WDW4PKvUpWVc,flanker,Flanker Task,INC > CON (valid & invalid cues),The effect of feature-based attention on flanker interference processing: An fMRI-constrained source analysis,J. Siemann; M. Herrmann; Daniela Galashan,Scientific Reports
6HV5Zhu9zuv2-ZsWPwvum55bZ,6HV5Zhu9zuv2,ZsWPwvum55bZ,flanker,Flanker Task,INC > CON (all cue types),The effect of feature-based attention on flanker interference processing: An fMRI-constrained source analysis,J. Siemann; M. Herrmann; Daniela Galashan,Scientific Reports
6ZpV5VnonurG-6wap4xhcdeVs,6ZpV5VnonurG,6wap4xhcdeVs,flanker,Eriksen Flanker Task,30987,Competition between functional brain networks mediates behavioral variability.,"Kelly AM, Uddin LQ, Biswal BB, Castellanos FX, Milham MP",NeuroImage
6pXdXZyRe9Qy-3MGddB2nrGkd,6pXdXZyRe9Qy,3MGddB2nrGkd,flanker,Flanker Task,t0015,Distinct neural correlates for two types of inhibition in bilinguals: Response inhibition versus interference suppression,"Luk G, Anderson JA, Craik FI, Grady C, Bialystok E",Brain and cognition
6pXdXZyRe9Qy-3PPX6Y7N5NmD,6pXdXZyRe9Qy,3PPX6Y7N5NmD,flanker,Flanker Task,t0020,Distinct neural correlates for two types of inhibition in bilinguals: Response inhibition versus interference suppression,"Luk G, Anderson JA, Craik FI, Grady C, Bialystok E",Brain and cognition
6pXdXZyRe9Qy-7rotxLSHZKPQ,6pXdXZyRe9Qy,7rotxLSHZKPQ,flanker,Flanker Task,t0010,Distinct neural correlates for two types of inhibition in bilinguals: Response inhibition versus interference suppression,"Luk G, Anderson JA, Craik FI, Grady C, Bialystok E",Brain and cognition
6vQ5TzA37rut-7NSxUxocRpaz,6vQ5TzA37rut,7NSxUxocRpaz,flanker,Flanker Task,t0010,Motivation by potential gains and losses affects control processes via different mechanisms in the attentional network,"Paschke LM, Walter H, Steimke R, Ludwig VU, Gaschler R, Schubert T, Stelzel C",NeuroImage
7i35K4dbCy6H-6cEEsa5rkNK5,7i35K4dbCy6H,6cEEsa5rkNK5,flanker,Speeded Flanker Task,27202,Trial-by-trial coupling of concurrent electroencephalogram and functional magnetic resonance imaging identifies the dynamics of performance monitoring.,"Debener S, Ullsperger M, Siegel M, Fiehler K, von Cramon DY, Engel AK",The Journal of neuroscience : the official journal of the Society for Neuroscience
7jdf7wRDnyoj-3EDXtuzb7kXM,7jdf7wRDnyoj,3EDXtuzb7kXM,flanker,Modified Sternberg working memory task | Modified Eriksen Flanker task | Stop signal task,18326,Resisting Sleep Pressure: Impact on Resting State Functional Network Connectivity.,"Tushaus L, Balsters JH, Schlapfer A, Brandeis D, O'Gorman Tuura R, Achermann P",Brain topography
7k6BwtmfUMLP-3u4SsFhw9C7G,7k6BwtmfUMLP,3u4SsFhw9C7G,flanker,Flanker Interference Task,T1,Priming of control: implicit contextual cuing of top-down attentional set,"King JA, Korb FM, Egner T",The Journal of neuroscience : the official journal of the Society for Neuroscience
7mq6L8F3KMVU-5DcHRjxpvB5w,7mq6L8F3KMVU,5DcHRjxpvB5w,flanker,Combined Go/NoGo-Eriksen flanker task,tbl3,Neural Correlates of Error Monitoring Modulated by Atomoxetine in Healthy Volunteers,"Graf H, Abler B, Freudenmann R, Beschoner P, Schaeffeler E, Spitzer M, Schwab M, Gron G",Biological psychiatry
7nyAPvL5NF2i-7KHTtkpwdnd6,7nyAPvL5NF2i,7KHTtkpwdnd6,flanker,Flanker Task,19705,Involvement of human internal globus pallidus in the early modulation of cortical error-related activity.,"Herrojo Ruiz M, Huebl J, Schonecker T, Kupsch A, Yarrow K, Krauss JK, Schneider GH, Kuhn AA","Cerebral cortex (New York, N.Y. : 1991)"
7uFh3Qcjksn5-G42rYniXPStm,7uFh3Qcjksn5,G42rYniXPStm,flanker,Eriksen Flanker Task,Digit Symbol-Coding test,Age-related changes in attention control and their relationship with gait performance in older adults with high risk of falls,N. Fernandez; M. Hars; A. Trombetti; Patrik Vuilleumier,NeuroImage
7uFh3Qcjksn5-S2Miw4Ahvd7a,7uFh3Qcjksn5,S2Miw4Ahvd7a,flanker,Eriksen Flanker Task,Stride length CV,Age-related changes in attention control and their relationship with gait performance in older adults with high risk of falls,N. Fernandez; M. Hars; A. Trombetti; Patrik Vuilleumier,NeuroImage
7uFh3Qcjksn5-WgcasyWxZyaw,7uFh3Qcjksn5,WgcasyWxZyaw,flanker,Eriksen Flanker Task,Common activations across both groups,Age-related changes in attention control and their relationship with gait performance in older adults with high risk of falls,N. Fernandez; M. Hars; A. Trombetti; Patrik Vuilleumier,NeuroImage
7uFh3Qcjksn5-X8smwsqncCN6,7uFh3Qcjksn5,X8smwsqncCN6,flanker,Eriksen Flanker Task,Stride time CV,Age-related changes in attention control and their relationship with gait performance in older adults with high risk of falls,N. Fernandez; M. Hars; A. Trombetti; Patrik Vuilleumier,NeuroImage
7uFh3Qcjksn5-s56ukMvFdqSa,7uFh3Qcjksn5,s56ukMvFdqSa,flanker,Eriksen Flanker Task,Older > Young adults,Age-related changes in attention control and their relationship with gait performance in older adults with high risk of falls,N. Fernandez; M. Hars; A. Trombetti; Patrik Vuilleumier,NeuroImage
7uFh3Qcjksn5-taa9xGu9rhhp,7uFh3Qcjksn5,taa9xGu9rhhp,flanker,Eriksen Flanker Task,(A) Executive control (Inc > Con),Age-related changes in attention control and their relationship with gait performance in older adults with high risk of falls,N. Fernandez; M. Hars; A. Trombetti; Patrik Vuilleumier,NeuroImage
83UV6m3p83zV-5o7Z9dQ7dK84,83UV6m3p83zV,5o7Z9dQ7dK84,flanker,Letter Flanker Task,t0015,Linking inter-individual differences in the conflict adaptation effect to spontaneous brain activity,"Wang T, Chen Z, Zhao G, Hitchman G, Liu C, Zhao X, Liu Y, Chen A",NeuroImage
83pigbDECtcd-3aLd8zPo8GfL,83pigbDECtcd,3aLd8zPo8GfL,flanker,Balance Task | Flanker Task,26990,Localizing evoked cortical activity associated with balance reactions: does the anterior cingulate play a role?,"Marlin A, Mochizuki G, Staines WR, McIlroy WE",Journal of neurophysiology
8TvkdWqMNVVo-8j3oafqd6EkS,8TvkdWqMNVVo,8j3oafqd6EkS,flanker,Flanker Task,Congruent,Acute Effects of Aerobic Exercise on Executive Function and Attention in Adult Patients With ADHD,Aylin Mehren; J. Özyurt; Alexandra P. Lam; M. Brandes; Helge H. O. Müller; C. Thiel; A. Philipsen,Frontiers in Psychiatry
8TvkdWqMNVVo-Szh8Md7x5KLS,8TvkdWqMNVVo,Szh8Md7x5KLS,flanker,Flanker Task,Incongruent,Acute Effects of Aerobic Exercise on Executive Function and Attention in Adult Patients With ADHD,Aylin Mehren; J. Özyurt; Alexandra P. Lam; M. Brandes; Helge H. O. Müller; C. Thiel; A. Philipsen,Frontiers in Psychiatry
9PLHhLsF5Bv4-AN5YnrN8mhpV,9PLHhLsF5Bv4,AN5YnrN8mhpV,flanker,Flanker Task | Go/No-go Task | Visual Task,MI (exercise - control)–HI (exercise - control)1,Intensity-Dependent Effects of Acute Exercise on Executive Function,Aylin Mehren; Cecilia Diaz Luque; M. Brandes; Alexandra P. Lam; C. Thiel; A. Philipsen; J. Özyurt,Journal of Neural Transplantation and Plasticity
9PLHhLsF5Bv4-iTxTiGBtoXMe,9PLHhLsF5Bv4,iTxTiGBtoXMe,flanker,Flanker Task | Go/No-go Task | Visual Task,MI (control − exercise)2,Intensity-Dependent Effects of Acute Exercise on Executive Function,Aylin Mehren; Cecilia Diaz Luque; M. Brandes; Alexandra P. Lam; C. Thiel; A. Philipsen; J. Özyurt,Journal of Neural Transplantation and Plasticity
9PLHhLsF5Bv4-iwE5cyEt9tHd,9PLHhLsF5Bv4,iwE5cyEt9tHd,flanker,Flanker Task | Go/No-go Task | Visual Task,HI (exercise − control)2,Intensity-Dependent Effects of Acute Exercise on Executive Function,Aylin Mehren; Cecilia Diaz Luque; M. Brandes; Alexandra P. Lam; C. Thiel; A. Philipsen; J. Özyurt,Journal of Neural Transplantation and Plasticity
9PLHhLsF5Bv4-xjDSaeiadmyq,9PLHhLsF5Bv4,xjDSaeiadmyq,flanker,Flanker Task | Go/No-go Task | Visual Task,HI (exercise − control)–MI (exercise − control)1,Intensity-Dependent Effects of Acute Exercise on Executive Function,Aylin Mehren; Cecilia Diaz Luque; M. Brandes; Alexandra P. Lam; C. Thiel; A. Philipsen; J. Özyurt,Journal of Neural Transplantation and Plasticity
9PLHhLsF5Bv4-xxX2zQfep7Md,9PLHhLsF5Bv4,xxX2zQfep7Md,flanker,Flanker Task | Go/No-go Task | Visual Task,MI (exercise - control)2,Intensity-Dependent Effects of Acute Exercise on Executive Function,Aylin Mehren; Cecilia Diaz Luque; M. Brandes; Alexandra P. Lam; C. Thiel; A. Philipsen; J. Özyurt,Journal of Neural Transplantation and Plasticity
9RNV5UYCZXby-GAhgf5R5qJQc,9RNV5UYCZXby,GAhgf5R5qJQc,flanker,Flanker Task,"Incongruent–Neutral, conjunction of Color and Letter",Material-dependent and material-independent selection processes in the frontal and parietal lobes: an event-related fMRI investigation of response competition,E. Hazeltine; S. Bunge; M. D. Scanlon; J. Gabrieli,Neuropsychologia
9RNV5UYCZXby-GH9Wkxjy8yaS,9RNV5UYCZXby,GH9Wkxjy8yaS,flanker,Flanker Task,"Incongruent–Neutral, Letter > Color",Material-dependent and material-independent selection processes in the frontal and parietal lobes: an event-related fMRI investigation of response competition,E. Hazeltine; S. Bunge; M. D. Scanlon; J. Gabrieli,Neuropsychologia
9RNV5UYCZXby-ZdEXdcVC8BYi,9RNV5UYCZXby,ZdEXdcVC8BYi,flanker,Flanker Task,"Incongruent–Neutral, Color > Letter",Material-dependent and material-independent selection processes in the frontal and parietal lobes: an event-related fMRI investigation of response competition,E. Hazeltine; S. Bunge; M. D. Scanlon; J. Gabrieli,Neuropsychologia
A9aLeLtLojCf-687QxTVWM3gJ,A9aLeLtLojCf,687QxTVWM3gJ,flanker,Eriksen flanker two-choice reaction time task,Right Frontal lobe,Functional brain imaging of speeded decision processing in Parkinson's disease and comparison with Schizophrenia,Pappa Eleni; Panagiotaropoulou Georgia; Potagas Constantine; Karavasilis Efstratios; Velonakis Georgios; Kelekis L Nikolaos; Klein Christoph; Smyrnis Nikolaos,Psychiatry Research: Neuroimaging
A9aLeLtLojCf-7bEgUA5e68Re,A9aLeLtLojCf,7bEgUA5e68Re,flanker,Eriksen flanker two-choice reaction time task,Right Temporal Lobe,Functional brain imaging of speeded decision processing in Parkinson's disease and comparison with Schizophrenia,Pappa Eleni; Panagiotaropoulou Georgia; Potagas Constantine; Karavasilis Efstratios; Velonakis Georgios; Kelekis L Nikolaos; Klein Christoph; Smyrnis Nikolaos,Psychiatry Research: Neuroimaging
A9aLeLtLojCf-T5dtaWVehEns,A9aLeLtLojCf,T5dtaWVehEns,flanker,Eriksen flanker two-choice reaction time task,Cingulate,Functional brain imaging of speeded decision processing in Parkinson's disease and comparison with Schizophrenia,Pappa Eleni; Panagiotaropoulou Georgia; Potagas Constantine; Karavasilis Efstratios; Velonakis Georgios; Kelekis L Nikolaos; Klein Christoph; Smyrnis Nikolaos,Psychiatry Research: Neuroimaging
A9aLeLtLojCf-ajRfT6qQfLEd,A9aLeLtLojCf,ajRfT6qQfLEd,flanker,Eriksen flanker two-choice reaction time task,utbl0002,Functional brain imaging of speeded decision processing in Parkinson's disease and comparison with Schizophrenia,Pappa Eleni; Panagiotaropoulou Georgia; Potagas Constantine; Karavasilis Efstratios; Velonakis Georgios; Kelekis L Nikolaos; Klein Christoph; Smyrnis Nikolaos,Psychiatry Research: Neuroimaging
A9aLeLtLojCf-hUMYDgCbop3n,A9aLeLtLojCf,hUMYDgCbop3n,flanker,Eriksen flanker two-choice reaction time task,Effect of task on brain activation in PD patients and controls.,Functional brain imaging of speeded decision processing in Parkinson's disease and comparison with Schizophrenia,Pappa Eleni; Panagiotaropoulou Georgia; Potagas Constantine; Karavasilis Efstratios; Velonakis Georgios; Kelekis L Nikolaos; Klein Christoph; Smyrnis Nikolaos,Psychiatry Research: Neuroimaging
ABdYSEaXYJEW-LoAMzYCLocaW,ABdYSEaXYJEW,LoAMzYCLocaW,flanker,Flanker Task,brb3375-tbl-0002,White matter microstructure between the pre‐SMA and the cingulum bundle is related to response conflict in healthy subjects,Maeri Yamamoto; I. Kushima; H. Kimura; Akiko Hayashi; N. Kawano; B. Aleksic; T. Iidaka; N. Ozaki,Brain and Behavior
CycWXprDDCAr-aJVFut7dq56c,CycWXprDDCAr,aJVFut7dq56c,flanker,Modified Flanker Task,Table 2. Activations for No-Go versus Neutral Trials,Immature Frontal Lobe Contributions to Cognitive Control in Children: Evidence from fMRI,"Bunge SA, Dudukovic NM, Thomason ME, Vaidya CJ, Gabrieli JD",Neuron
DRMt2LVVVCze-B22BHfqcMjuf,DRMt2LVVVCze,B22BHfqcMjuf,flanker,Cued Flanker Task,Hard cue > Baseline,Preparatory allocation of attention and adjustments in conflict processing,T. Luks; G. V. Simpson; C. Dale; M. Hough,NeuroImage
DRMt2LVVVCze-CCukhMwiMmWG,DRMt2LVVVCze,CCukhMwiMmWG,flanker,Cued Flanker Task,Neutrally cued high conflict targets > low conflict targets,Preparatory allocation of attention and adjustments in conflict processing,T. Luks; G. V. Simpson; C. Dale; M. Hough,NeuroImage
DRMt2LVVVCze-Gwt6yC2VLKyf,DRMt2LVVVCze,Gwt6yC2VLKyf,flanker,Cued Flanker Task,Informative Cues (Hard + Easy) > Neutral cues,Preparatory allocation of attention and adjustments in conflict processing,T. Luks; G. V. Simpson; C. Dale; M. Hough,NeuroImage
DRMt2LVVVCze-HAA8GcLtRWnm,DRMt2LVVVCze,HAA8GcLtRWnm,flanker,Cued Flanker Task,Informative Hard cues > Informative Easy cues,Preparatory allocation of attention and adjustments in conflict processing,T. Luks; G. V. Simpson; C. Dale; M. Hough,NeuroImage
DRMt2LVVVCze-f8HrreKdeRuB,DRMt2LVVVCze,f8HrreKdeRuB,flanker,Cued Flanker Task,Easy cue > Baseline,Preparatory allocation of attention and adjustments in conflict processing,T. Luks; G. V. Simpson; C. Dale; M. Hough,NeuroImage
DRMt2LVVVCze-h3AGwW4fA5Hd,DRMt2LVVVCze,h3AGwW4fA5Hd,flanker,Cued Flanker Task,Neutral cue > Baseline,Preparatory allocation of attention and adjustments in conflict processing,T. Luks; G. V. Simpson; C. Dale; M. Hough,NeuroImage
DRMt2LVVVCze-mB4axCGXo8Jd,DRMt2LVVVCze,mB4axCGXo8Jd,flanker,Cued Flanker Task,Neutrally cued (high conflict vs. low conflict targets) > informatively cued (high conflict vs. low conflict targets),Preparatory allocation of attention and adjustments in conflict processing,T. Luks; G. V. Simpson; C. Dale; M. Hough,NeuroImage
DRMt2LVVVCze-tnpfBjdQcL9n,DRMt2LVVVCze,tnpfBjdQcL9n,flanker,Cued Flanker Task,Informatively cued high conflict targets > low conflict targets,Preparatory allocation of attention and adjustments in conflict processing,T. Luks; G. V. Simpson; C. Dale; M. Hough,NeuroImage
Ft2qiB3x8K8G-G3PnhoRo89dc,Ft2qiB3x8K8G,G3PnhoRo89dc,flanker,Speeded Digit Flanker Task,Cluster set II: Contrast (error > correct),To err is (perfectly) human: behavioural and neural correlates of error processing and perfectionism,A. Barke; S. Bode; P. Dechent; C. Schmidt-Samoa; Christina A. Van Heer; J. Stahl,Social Cognitive and Affective Neuroscience
Ft2qiB3x8K8G-xPjnsJ7yABj9,Ft2qiB3x8K8G,xPjnsJ7yABj9,flanker,Speeded Digit Flanker Task,Cluster set I: Contrast (correct > error),To err is (perfectly) human: behavioural and neural correlates of error processing and perfectionism,A. Barke; S. Bode; P. Dechent; C. Schmidt-Samoa; Christina A. Van Heer; J. Stahl,Social Cognitive and Affective Neuroscience
Fz9YApij5XT9-FW6Hc5uoBuQs,Fz9YApij5XT9,FW6Hc5uoBuQs,flanker,Flanker Test,Supplement effect,"The effect of acute cocoa flavanol intake on the BOLD response and cognitive function in type 1 diabetes: a randomized, placebo-controlled, double-blinded cross-over pilot study",L. Decroix; P. Schuerbeek; C. Tonoli; J. Cutsem; D. Soares; E. Heyman; T. Vanderhasselt; Ruth Verrelst; H. Raeymaekers; J. Mey; R. Meeusen,Psychopharmacology
Fz9YApij5XT9-T9dbvPzgxUnM,Fz9YApij5XT9,T9dbvPzgxUnM,flanker,Flanker Test,2-way (group * supplement),"The effect of acute cocoa flavanol intake on the BOLD response and cognitive function in type 1 diabetes: a randomized, placebo-controlled, double-blinded cross-over pilot study",L. Decroix; P. Schuerbeek; C. Tonoli; J. Cutsem; D. Soares; E. Heyman; T. Vanderhasselt; Ruth Verrelst; H. Raeymaekers; J. Mey; R. Meeusen,Psychopharmacology
Fz9YApij5XT9-kjAMCT5KFCWN,Fz9YApij5XT9,kjAMCT5KFCWN,flanker,Flanker Test,Group effect,"The effect of acute cocoa flavanol intake on the BOLD response and cognitive function in type 1 diabetes: a randomized, placebo-controlled, double-blinded cross-over pilot study",L. Decroix; P. Schuerbeek; C. Tonoli; J. Cutsem; D. Soares; E. Heyman; T. Vanderhasselt; Ruth Verrelst; H. Raeymaekers; J. Mey; R. Meeusen,Psychopharmacology
JPY89C2raE9F-8CWwpzxLytKs,JPY89C2raE9F,8CWwpzxLytKs,flanker,Numerical Eriksen Flanker Task,Peak voxel activation on incongruent (minus congruent) trials in the MC blocks contrasted with incongruent (minus congruent) trials in the MI blocks.,Context-dependent modulation of cognitive control involves different temporal profiles of fronto-parietal activity,B. Aben; C. Calderon; Laurens Van der Cruyssen; Doerte Picksak; E. Bussche; Tom Verguts,NeuroImage
JPY89C2raE9F-9yVuokW6tpvF,JPY89C2raE9F,9yVuokW6tpvF,flanker,Numerical Eriksen Flanker Task,MC and MI blocks,Context-dependent modulation of cognitive control involves different temporal profiles of fronto-parietal activity,B. Aben; C. Calderon; Laurens Van der Cruyssen; Doerte Picksak; E. Bussche; Tom Verguts,NeuroImage
