analysis_id,study_id,contrast_id,comparison_task,matched_task_names,analysis_name,study_name,authors,publication
25uKFzHufiGk-MwAgKDUaAoMn,25uKFzHufiGk,MwAgKDUaAoMn,flanker,Social Speeded Flanker Task,Table 2.,When your error becomes my error: anterior insula activation in response to observed errors is modulated by agency.,"Cracco, Emiel;Desmet, Charlotte;Brass, Marcel",Social cognitive and affective neuroscience
2anyF97pVjDC-NNevFFQ8xFEV,2anyF97pVjDC,NNevFFQ8xFEV,flanker,Flanker Task,OCD Group > HC Group,Presupplementary Motor Area Contributes to Altered Error Monitoring in Obsessive-Compulsive Disorder,Rosa Grützmann; T. Endrass; C. Kaufmann; E. Allen; T. Eichele; N. Kathmann,Biological Psychiatry
2anyF97pVjDC-s7F4qthqoDjj,2anyF97pVjDC,s7F4qthqoDjj,flanker,Flanker Task,Main Effect Error > Correct,Presupplementary Motor Area Contributes to Altered Error Monitoring in Obsessive-Compulsive Disorder,Rosa Grützmann; T. Endrass; C. Kaufmann; E. Allen; T. Eichele; N. Kathmann,Biological Psychiatry
39BgDEU2okjo-3BwVCJGUCyLA,39BgDEU2okjo,3BwVCJGUCyLA,flanker,Flanker Task,25635,Effective connectivity of the fronto-parietal network during attentional control.,"Wang L, Liu X, Guise KG, Knight RT, Ghajar J, Fan J",Journal of cognitive neuroscience
39BgDEU2okjo-3xEXdDJF6dwo,39BgDEU2okjo,3xEXdDJF6dwo,flanker,Flanker Task,25638,Effective connectivity of the fronto-parietal network during attentional control.,"Wang L, Liu X, Guise KG, Knight RT, Ghajar J, Fan J",Journal of cognitive neuroscience
39BgDEU2okjo-4b3KJkhivGcj,39BgDEU2okjo,4b3KJkhivGcj,flanker,Flanker Task,25637,Effective connectivity of the fronto-parietal network during attentional control.,"Wang L, Liu X, Guise KG, Knight RT, Ghajar J, Fan J",Journal of cognitive neuroscience
39BgDEU2okjo-77xyhsmfTh8P,39BgDEU2okjo,77xyhsmfTh8P,flanker,Flanker Task,25636,Effective connectivity of the fronto-parietal network during attentional control.,"Wang L, Liu X, Guise KG, Knight RT, Ghajar J, Fan J",Journal of cognitive neuroscience
3LqDEwyx5XTj-4SrcGZrThK3g,3LqDEwyx5XTj,4SrcGZrThK3g,flanker,Modified Eriksen Flanker Task,tbl3,Cortical recruitment during selective attention in multiple sclerosis: An fMRI investigation of individual differences,"Prakash RS, Erickson KI, Snook EM, Colcombe SJ, Motl RW, Kramer AF",Neuropsychologia
3iFzKZYtJ8fr-mHUA3vyxwEgw,3iFzKZYtJ8fr,mHUA3vyxwEgw,flanker,Flanker Task | Auditory Simon Task,Table 3,"Effortful control, depression, and anxiety correlate with the influence of emotion on executive attentional control.","Kanske P, Kotz SA",Biological psychology
3tozRpym8M2i-3pBgquLLVnvs,3tozRpym8M2i,3pBgquLLVnvs,flanker,Flanker/NoGo Task,t0005,Sequential inhibitory control processes assessed through simultaneous EEG–fMRI,"Baumeister S, Hohmann S, Wolf I, Plichta MM, Rechtsteiner S, Zangl M, Ruf M, Holz N, Boecker R, Meyer-Lindenberg A, Holtmann M, Laucht M, Banaschewski T, Brandeis D",NeuroImage
3tozRpym8M2i-3tzNPZG5AkhP,3tozRpym8M2i,3tzNPZG5AkhP,flanker,Flanker/NoGo Task,t0010,Sequential inhibitory control processes assessed through simultaneous EEG–fMRI,"Baumeister S, Hohmann S, Wolf I, Plichta MM, Rechtsteiner S, Zangl M, Ruf M, Holz N, Boecker R, Meyer-Lindenberg A, Holtmann M, Laucht M, Banaschewski T, Brandeis D",NeuroImage
3tozRpym8M2i-FANSLfG3s5ho,3tozRpym8M2i,FANSLfG3s5ho,flanker,Flanker/NoGo Task,t0015,Sequential inhibitory control processes assessed through simultaneous EEG–fMRI,"Baumeister S, Hohmann S, Wolf I, Plichta MM, Rechtsteiner S, Zangl M, Ruf M, Holz N, Boecker R, Meyer-Lindenberg A, Holtmann M, Laucht M, Banaschewski T, Brandeis D",NeuroImage
42bp4FPeUxXt-4HZfs96iiPfc,42bp4FPeUxXt,4HZfs96iiPfc,flanker,Flanker Task,T2,Orchestrating Proactive and Reactive Mechanisms for Filtering Distracting Information: Brain-Behavior Relationships Revealed by a Mixed-Design fMRI Study,"Marini, Francesco;Demeter, Elise;Roberts, Kenneth C;Chelazzi, Leonardo;Woldorff, Marty G",The Journal of neuroscience : the official journal of the Society for 
42bp4FPeUxXt-5KSwjUFtQL8M,42bp4FPeUxXt,5KSwjUFtQL8M,flanker,Flanker Task,T1,Orchestrating Proactive and Reactive Mechanisms for Filtering Distracting Information: Brain-Behavior Relationships Revealed by a Mixed-Design fMRI Study,"Marini, Francesco;Demeter, Elise;Roberts, Kenneth C;Chelazzi, Leonardo;Woldorff, Marty G",The Journal of neuroscience : the official journal of the Society for 
42bp4FPeUxXt-6mn5iokrMNKR,42bp4FPeUxXt,6mn5iokrMNKR,flanker,Flanker Task,T3,Orchestrating Proactive and Reactive Mechanisms for Filtering Distracting Information: Brain-Behavior Relationships Revealed by a Mixed-Design fMRI Study,"Marini, Francesco;Demeter, Elise;Roberts, Kenneth C;Chelazzi, Leonardo;Woldorff, Marty G",The Journal of neuroscience : the official journal of the Society for 
42bp4FPeUxXt-7bvcWUXfajWK,42bp4FPeUxXt,7bvcWUXfajWK,flanker,Flanker Task,T4,Orchestrating Proactive and Reactive Mechanisms for Filtering Distracting Information: Brain-Behavior Relationships Revealed by a Mixed-Design fMRI Study,"Marini, Francesco;Demeter, Elise;Roberts, Kenneth C;Chelazzi, Leonardo;Woldorff, Marty G",The Journal of neuroscience : the official journal of the Society for 
4CAE7uGTB2gw-3Qr2iAtN7YpK,4CAE7uGTB2gw,3Qr2iAtN7YpK,flanker,Visual Flanker Task | Auditory Simon Task,Table 3,"Reprint of ""Effortful control, depression, and anxiety correlate with the influence of emotion on executive attentional control"".","Kanske P, Kotz SA",Biological psychology
4N7YQbHUCfds-6dNuVMSwwhSC,4N7YQbHUCfds,6dNuVMSwwhSC,flanker,Eriksen Flanker Task,t2-jpn-41-e3,Aberrant network connectivity during error processing in patients with schizophrenia,"Voegler, Rolf;Becker, Michael P I;Nitsch, Alexander;Miltner, Wolfgang H R;Straube, Thomas",Journal of psychiatry & neuroscience : JPN
4b2M5NqN8XtV-VusVoLMa5fXQ,4b2M5NqN8XtV,VusVoLMa5fXQ,flanker,Flanker Task | Delayed Gratification Task | Color-Word Stroop Task,Incongruent > Congruent,Effects of Music Training on Inhibitory Control and Associated Neural Networks in School-Aged Children: A Longitudinal Study,Sarah Hennessy; Matthew E. Sachs; Beatriz Ilari; Assal Habibi,Frontiers in Neuroscience
